step,truth,measurement,estimate,variance,gain
0,1.0,1.08,0.8657142857142858,0.20039682539682535,0.8015873015873016
1,1.0,1.2421628397919533,1.0377475759849109,0.11424754352697811,0.4569901741079124
2,1.0,0.7492412873075308,0.9419655240242527,0.08299823584414627,0.3319929433765851
3,1.0,1.0856184438537502,0.9809146109929513,0.06778331936261285,0.2711332774504514
4,1.0,0.9758588964614816,0.979714884726306,0.05932525754655962,0.2373010301862385
5,1.0,0.728845466658804,0.9252513350788143,0.054274799681678455,0.21709919872671382
6,1.0,1.2429238360361818,0.9902210252483534,0.051129457203362226,0.20451782881344888
7,1.0,0.9665274159848185,0.9855658007431348,0.049118988726456744,0.196475954905827
8,1.0,0.9708133879826812,0.9827444026554066,0.04781248554967605,0.19124994219870417
9,1.0,1.2889562862881094,1.0402562676015015,0.04695430518878842,0.18781722075515367
10,1.0,0.7768048962515183,0.9913737806885281,0.04638663167939556,0.18554652671758223
11,1.0,0.9767325597593564,0.9886792468985103,0.046009376592513015,0.1840375063700521
12,1.0,1.0773192553905684,1.004903166806057,0.04575789246737364,0.18303156986949454
13,1.0,0.705497501739868,0.9503036641009407,0.04558990449716958,0.18235961798867834
14,1.0,1.1927827534005824,0.9944130709182479,0.04547753678957387,0.18191014715829545
15,1.0,1.0818801862248306,1.0102979053918264,0.04540230467730692,0.1816092187092277
16,1.0,0.8821329768681313,0.9870478109745048,0.04535190454427473,0.1814076181770989
17,1.0,1.2873363940939098,1.0414818745621146,0.04531812616895676,0.18127250467582703
18,1.0,0.8465673170653486,1.0061668796122054,0.04529548152207056,0.18118192608828226
19,1.0,0.8604603898042242,0.9797763464976806,0.04528029799719875,0.18112119198879503
20,1.0,1.1488343284863316,1.0103894443112298,0.04527011598837767,0.1810804639535107
21,1.0,0.7323663884080017,0.9600524943694947,0.0452632874081277,0.18105314963251082
22,1.0,1.1073378738563886,0.9867162780386954,0.045258707554834764,0.18103483021933905
23,1.0,1.1934568341819762,1.0241409792803242,0.04525563578305824,0.18102254313223298
24,1.0,0.8312799468423915,0.9892303741483405,0.04525357545104245,0.1810143018041698
25,1.0,1.236193995322179,1.0339329564392394,0.04525219349961734,0.18100877399846932
26,1.0,0.9429726707195634,1.0174686838987366,0.04525126655616203,0.1810050662246481
27,1.0,0.7589799202798152,0.9706815509848945,0.04525064480444716,0.18100257921778865
28,1.0,1.1765928785438529,1.007951688866046,0.04525022775942243,0.1810009110376897
29,1.0,0.8055979928147182,0.9713257119524163,0.04524994802212476,0.180999792088499
30,1.5,1.505238117141163,1.06796334555787,0.04524976038498801,0.18099904153995205
31,1.5,1.7799257293608333,1.196827496208234,0.04524963452494258,0.1809985380997703
32,1.5,1.3278620930144085,1.220544522421652,0.04524955010259645,0.1809982004103858
33,1.5,1.6441577433781291,1.2972176571322216,0.04524949347511463,0.1809979739004585
34,1.5,1.5452230411315295,1.342106091471852,0.045249455491413314,0.18099782196565323
35,1.5,1.1917060769508099,1.3148840317475816,0.045249430013289155,0.18099772005315662
36,1.5,1.655672228186698,1.3765658950280415,0.04524941292346053,0.18099765169384216
37,1.5,1.4122179738170382,1.383018835932098,0.04524940146020363,0.1809976058408145
38,1.5,1.408378329777735,1.3876088428235214,0.045249393771052714,0.18099757508421085
39,1.5,1.8247628744496185,1.4667326534674456,0.04524938861343948,0.18099755445375795
40,1.5,1.3718713514365697,1.449562991100266,0.04524938515389296,0.18099754061557183
41,1.5,1.5279003433209453,1.463741858463404,0.04524938283335011,0.18099753133340044
42,1.5,1.6314337871269395,1.4940936825319646,0.04524938127681107,0.1809975251072443
43,1.5,1.171442837198896,1.4356946794004017,0.04524938023273908,0.1809975209309563
44,1.5,1.5910084032239356,1.463806077943935,0.04524937953241206,0.18099751812964823
45,1.5,1.5326885282080056,1.4762736303549893,0.04524937906265716,0.18099751625062865
46,1.5,1.337526463886706,1.4511607380122917,0.04524937874756198,0.18099751499024794
47,1.5,1.8195265651142947,1.517834037013658,0.04524937853620714,0.18099751414482856
48,1.5,1.4536947690171003,1.5062249889835841,0.0452493783944377,0.1809975135777508
49,1.5,1.4088473936444237,1.488599886386056,0.04524937829934371,0.1809975131973748
50,1.5,1.6830037885740128,1.523786509188341,0.04524937823555798,0.1809975129422319
51,1.5,1.2018465244263412,1.465516172684856,0.04524937819277274,0.18099751277109097
52,1.5,1.4964046337493844,1.4711069073073164,0.0452493781640739,0.18099751265629557
53,1.5,1.6447684507912321,1.5025392147085863,0.045249378144823715,0.1809975125792949
54,1.5,1.3081758589373937,1.4673599307874747,0.045249378131911364,0.18099751252764545
55,1.5,1.765528539327323,1.5213277072366866,0.045249378123250215,0.18099751249300083
56,1.5,1.5560366097072635,1.5276099322444165,0.04524937811744061,0.18099751246976248
57,1.5,1.3089425569493485,1.4880316812611256,0.04524937811354374,0.18099751245417495
58,1.5,1.688331882047805,1.524285519345492,0.04524937811092985,0.1809975124437194
59,1.5,1.276704273078047,1.479473929645105,0.04524937810917654,0.18099751243670617
